nombre_archivo,tipo,fecha,codigo_participante,id_evidencia,duracion,resolucion,codec,audio_kbps,tamano_bytes,sha256_publicado,sha256_original_camara,zona
2026-09-03_Docente_DOC-05_Audio.mp3,Audio,2026-09-03,DOC-05,EV-20,00:19:28,N/A,mp3,128,18682515,N/A - no se publica,5e664dd154910e404cb4a17713a80a1e198e3fa73e1f934c20fdfad82ef47da5,Restringida
2026-09-03_Docente_DOC-06_Entrevista.mp4,Video,2026-09-03,DOC-06,EV-21,00:14:20,1280x720,h264/aac,98,46345792,N/A - no se publica,ee0fe34a05ca519d75fa0e50ad14915653a7059c4896c89bab36a466b83389e1,Restringida
2026-09-03_Docente_DOC-06_Audio.mp3,Audio,2026-09-03,DOC-06,EV-21,00:14:20,N/A,mp3,128,13760787,N/A - no se publica,5cf9a806cbb8fd28b7b78532d46bd8c8599c2946ba2636a5647d75440196369e,Restringida
2026-09-03_Docente_DOC-07_Entrevista.mp4,Video,2026-09-03,DOC-07,EV-22,00:21:16,1280x720,h264/aac,97,64262591,N/A - no se publica,bde38183066cff9a8cd4383a12d1ce182ec6b020d93e2b2b8966f08b02092543,Restringida
2026-09-03_Docente_DOC-07_Audio.mp3,Audio,2026-09-03,DOC-07,EV-22,00:21:16,N/A,mp3,128,20422803,N/A - no se publica,5c98ce82ef004a517f0c3ac9a8f42558325d74a142564b0d820d100a412edbce,Restringida
2026-09-03_Docente_DOC-08_Entrevista.mp4,Video,2026-09-03,DOC-08,EV-23,00:13:44,1280x720,h264/aac,98,45100724,N/A - no se publica,29396f20a55005f7bb3d1d5760f2da79c78e9296efdd0ca20675e3086dd2f991,Restringida
2026-09-03_Docente_DOC-08_Audio.mp3,Audio,2026-09-03,DOC-08,EV-23,00:13:44,N/A,mp3,128,13185939,N/A - no se publica,e3f38cc28508becc4359c5d280b74c48fb60abed97ba270f2f7918c16d194122,Restringida
2026-09-03_Docente_DOC-09_Entrevista.mp4,Video,2026-09-03,DOC-09,EV-24,00:11:45,1280x720,h264/aac,98,44175018,N/A - no se publica,c00dbceca337b0bf62e3bb39ba312a11b4fb369927cee07f218e6b0a414c73dc,Restringida
2026-09-03_Docente_DOC-09_Audio.mp3,Audio,2026-09-03,DOC-09,EV-24,00:11:45,N/A,mp3,128,11285523,N/A - no se publica,80548b34c782b09a3ea4d5e09624d254f8d33b128ae87188a7cf85abc888f6dc,Restringida
2026-09-03_Docente_DOC-10_Entrevista.mp4,Video,2026-09-03,DOC-10,EV-25,00:16:22,1280x720,h264/aac,99,49650302,N/A - no se publica,6b89dabafe8fcb3ed2519e324682f410e1c33cbc96897f2db71e2bfbc870a8ee,Restringida
2026-09-03_Docente_DOC-10_Audio.mp3,Audio,2026-09-03,DOC-10,EV-25,00:16:22,N/A,mp3,128,15711123,N/A - no se publica,6d1314c8bba446bc286a0124532777ce5c481fc3e3eeaf1d35e72bacc3a69364,Restringida
2026-09-04_Tecnico_TIC-01_Sesion.mp4,Video,2026-09-04,TIC-01,EV-26,00:16:35,1280x720,h264/aac,97,89137754,N/A - no se publica,be33bdab7ea79846d0fd6c7f251147b0cc43a6d8e1f6895644f948c3b0e9a1a6,Restringida
2026-09-04_Tecnico_TIC-01_Audio.mp3,Audio,2026-09-04,TIC-01,EV-26,00:16:35,N/A,mp3,128,15918600,N/A - no se publica,b4216b897b6f49dc757921fadf1b324fee40371b527d7bab8e144a71447f8926,Restringida
